"sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
2,4,2,0,0,0,0,0,0,0,0,0,0,0,0.18,0.31,0,1,0,0,1,0,0
5,2,16,0,0,0,0,0,0,0,0,1,0,0,0.31,0.4,0,0,0,0,1,0,0
7,4,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0
9,0,9,0,1,1,1,0,0,0,0,0,0,0,0.86,0.69,0,0,0,0,1,0,0
10,300,8,0,0,0,0,0,40,100,122,7,0,0,0,0,0,0,0,0,1,0,0
11,1,12,0,0,0,0,0,1,2,2,2,0,0,0.77,0.73,0,1,0,0,1,0,0
16,9635,8,26,0,0,0,88,267,538,875,97,0,0,0.12,0.12,0,0,0,0,1,0,0
19,4,8,0,0,0,0,1,7,7,9,2,0,0,0.62,0.62,0,1,0,1,1,0,0
20,22,4,16,18,36,54,1,20,36,51,0,0,0,0.73,0.78,0,0,0,0,1,0,0
22,218,9,113,218,323,353,61,147,377,558,62,0,0,0.85,0.82,0,0,0,0,1,0,0
24,96,9,0,0,0,0,2,12,46,74,0,0,0,0.86,0.84,0,0,0,0,1,0,0
26,79,2,0,225,405,675,49,155,244,311,63,0,0,0.69,0.69,0,1,0,0,1,0,1
29,2,2,0,0,0,0,0,0,1,1,1,0,0,0.93,0.87,0,0,0,1,1,0,0
32,7,8,0,48,96,144,6,28,41,45,0,0,0,0.51,0.47,0,0,0,1,1,0,1
33,36,8,0,0,0,0,0,1,2,4,0,0,0,0.95,0.97,0,0,0,0,1,0,0
35,86,8,0,0,0,0,0,0,0,0,0,0,0,0.78,0.86,0,0,0,0,1,0,0
37,2,12,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,1,0,0,1,0,0
38,3,8,0,1,2,4,1,1,1,4,0,0,0,0.37,0.34,0,0,0,0,1,0,0
39,14,8,0,15,24,33,7,22,41,58,0,0,0,0.99,0.91,0,0,0,0,1,0,0
41,319,2,0,0,0,0,11,20,34,51,3,0,0,0.81,0.77,0,0,0,0,1,0,0
43,75,2,12,56,112,182,18,55,121,190,47,0,0,0.97,0.98,0,0,0,0,1,0,0
44,53,8,3,10,40,65,6,28,72,108,25,0,0,0.81,0.54,0,0,0,0,1,0,0
45,3,2,1,8,12,20,6,15,20,32,2,0,0,0.98,0.96,0,0,0,0,1,0,1
47,83,8,0,0,0,0,0,1,3,7,1,0,0,0.58,0.57,0,0,0,0,1,0,0
48,7,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,1,0,0,1,0,0
49,12,8,0,0,0,0,0,2,5,9,0,0,0,0.82,0.81,0,0,0,0,1,0,0
50,2,8,0,0,0,0,0,0,0,0,1,0,0,0.86,0.88,0,0,0,0,1,0,0
53,7,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,1,0,0,1,0,0
54,34,12,10,330,390,390,31,68,124,191,11,0,0,0.99,0.98,1,0,0,0,1,0,0
58,1235,8,140,140,140,420,161,197,201,201,265,0,0,1,0.99,0,0,0,0,1,0,0
59,5,12,0,0,0,0,0,0,0,0,0,0,0,0.77,0.73,0,0,0,0,1,0,0
60,20,4,0,0,0,0,2,2,7,7,1,0,0,0.24,0.14,0,1,0,0,1,0,0
61,13,12,13,0,0,0,0,0,0,0,1,0,0,0.63,0.63,0,1,0,0,1,0,0
62,20,14,0,0,0,0,1,2,5,7,0,0,0,0.99,0.99,0,0,0,0,1,0,0
63,51,2,0,0,0,0,0,1,1,1,0,0,0,0.83,0.69,0,0,0,0,1,0,0
64,3,9,0,0,0,0,0,0,2,2,0,0,0,0.96,0.96,0,0,0,0,1,0,0
65,14,8,0,0,0,0,0,0,0,0,0,0,0,0.77,0.82,0,0,0,0,1,0,0
66,0,8,0,22,31,47,4,15,15,19,3,0,0,0.64,0.63,0,0,0,0,1,0,1
67,3,12,0,0,0,0,0,0,0,3,0,0,0,0.73,0.79,0,0,0,0,1,0,0
68,100,2,0,0,0,0,0,5,35,42,2,0,0,0.5,0.66,0,0,0,0,1,0,0
69,-2,8,48,408,744,996,136,386,636,1036,304,0,36,0.86,0.88,41,0,0,0,1,0,1
70,5,12,0,0,0,0,0,0,0,0,0,0,0,0.73,0.79,0,0,0,0,1,0,0
71,2,12,0,0,0,0,0,0,0,0,0,0,0,0.57,0.7,0,0,0,0,1,0,0
72,0,8,0,5,6,6,0,0,0,0,0,0,0,0.46,0.35,0,1,0,0,1,0,1
73,104,2,0,0,48,96,9,38,69,78,0,0,0,0.84,0.77,0,1,0,0,1,0,0
74,4,2,1,3,9,14,1,5,8,14,1,0,1,0.1,0.17,0,0,0,0,1,0,1
75,12,8,0,0,0,0,0,0,0,0,0,0,0,0.61,0.62,0,0,0,0,1,0,0
76,3,8,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0,0,0,0,1,0,0
77,178,8,25,103,224,369,44,157,326,499,60,0,0,1,0.99,0,0,0,0,1,0,0
80,77,8,0,0,0,0,0,0,1,3,0,0,0,0.78,0.84,0,0,0,0,1,0,0
81,158,2,0,96,192,384,9,41,61,62,14,0,0,0.82,0.62,0,1,0,0,1,0,0
82,9,8,0,0,0,0,0,0,0,0,0,0,0,0.96,0.83,0,1,0,0,1,0,1
83,4,4,0,2,4,5,0,1,1,3,0,0,0,0.68,0.66,0,1,0,1,1,0,0
85,43,2,25,25,75,100,1,2,13,13,4,0,0,0.99,0.99,0,1,0,0,1,0,0
86,0,5,0,33,52,52,0,0,0,0,0,0,0,0.65,0.71,0,1,0,1,1,0,1
87,28,2,0,24,54,84,6,33,76,79,0,0,0,0.68,0.68,0,1,0,0,1,0,0
89,3,12,0,0,0,0,0,0,0,0,0,0,0,0.73,0.79,0,0,0,0,1,0,0
90,62,8,0,0,0,0,4,13,24,36,2,0,0,0.93,0.97,0,0,0,0,1,0,0
91,279,8,1,0,0,0,17,51,103,198,91,0,0,0.97,0.95,0,0,0,0,1,0,0
93,17,2,0,0,0,0,1,1,2,5,0,0,0,0.97,0.92,0,0,0,0,1,0,0
95,52,2,0,0,0,0,8,8,8,8,5,0,0,0.74,0.83,0,1,0,0,1,0,0
97,0,8,0,13,16,19,7,13,13,13,0,0,0,1,0.95,0,0,0,0,1,0,1
98,147,2,18,180,324,468,66,172,343,476,64,0,0,0.99,0.99,0,0,0,0,1,0,0
99,9,8,0,0,0,0,0,0,0,0,0,0,0,0.79,0.79,0,0,0,0,1,0,0
103,0,8,0,5,5,5,2,3,11,26,8,0,0,0.97,0.98,0,0,0,1,1,0,1
105,80,17,0,0,0,0,4,12,25,57,2,0,0,1,1,0,0,0,0,1,0,0
106,2,12,0,0,0,0,0,0,0,0,0,0,0,0.73,0.79,0,1,0,0,1,0,0
107,-3,3,0,7,9,10,20,32,64,80,0,0,0,0.89,0.9,3,0,0,0,1,0,1
108,2,13,0,5,8,11,1,4,7,12,0,0,0,0.82,0.81,0,0,0,0,1,0,1
109,11,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
110,1028,2,0,0,0,0,6,27,39,51,0,0,0,1,0.99,0,0,0,1,1,0,0
113,63,8,0,0,0,0,1,2,3,6,0,0,0,0.86,0.63,0,1,0,1,1,0,0
114,6,9,0,0,0,0,0,0,0,0,0,0,0,0.91,0.77,0,1,0,0,1,0,0
115,1,8,0,0,0,0,0,0,0,0,0,0,0,0.89,0.88,0,0,0,0,1,0,0
116,86,8,16,23,109,185,17,72,240,304,20,0,0,0.86,0.91,0,0,0,0,1,0,0
117,153,8,0,0,0,0,1,4,4,7,0,0,0,0.81,0.9,0,0,0,0,1,0,0
118,89,2,43,70,150,230,30,96,178,298,39,0,0,0.93,0.8,0,0,0,0,1,0,0
120,14,8,0,0,0,5,0,6,7,16,1,0,0,0.99,0.99,0,0,0,0,1,0,0
121,25,2,0,0,0,0,0,0,0,0,0,0,0,0.66,0.67,0,0,0,1,1,0,0
123,20,8,0,0,0,0,0,0,0,0,0,0,0,0.88,0.92,0,0,0,0,1,0,0
124,9,4,0,0,0,1,11,25,27,28,0,0,0,0.73,0.78,0,0,0,0,1,0,1
128,3,2,0,10,16,26,5,8,21,33,1,0,0,0.99,0.99,0,0,0,0,1,0,1
129,1,8,0,0,0,0,0,0,0,0,0,0,0,0.82,0.84,0,0,0,0,1,0,0
130,313,6,0,612,940,1227,158,419,698,1079,112,0,13,0.79,0.66,0,0,0,0,1,0,0
131,20,4,0,0,0,0,0,1,2,3,0,0,0,0.73,0.78,0,0,0,0,1,0,0
132,2,9,0,0,0,0,0,0,0,0,0,0,0,0.7,0.66,0,0,0,0,1,0,0
133,8,2,0,5,10,15,3,8,20,28,1,0,0,1,1,0,0,0,0,1,0,0
